author,positive,negative
hans-schiebelhuth-1623,922,1589
franz-dingelstedt-127,571,1140
johann-fischart-1110,19,17
sidonia-hedwig-zaunemann-657,1769,2337
karl-friedrich-gottlob-wetzel-636,18,17
alberta-von-puttkamer-473,13,39
giosue-carducci-1019,904,1547
paul-klee-324,328,534
heinrich-heine-257,3972,7193
frank-wedekind-626,511,744
johann-gabriel-seidl-546,3185,4631
georg-trakl-595,321,668
august-friedrich-ernst-langbein-354,19,32
hans-christian-andersen-9,18,33
friedrich-wilhelm-weber-625,50,81
georg-heym-273,427,1246
theodor-fontane-173,240,456
justinus-kerner-315,226,371
hermann-lons-381,558,843
adolf-glassbrenner-200,4367,6760
ludwig-tieck-593,116,182
max-hofmann-282,232,204
victor-hugo-293,3350,6387
hermann-von-lingg-378,33,63
gottfried-august-burger-84,2984,3309
friedrich-ii-von-preussen-185,53,75
christian-friedrich-scherenberg-515,1576,3192
franz-grillparzer-219,44,81
zephyrin-zettl-660,34,18
friedrich-ruckert-501,4241,6815
gotthold-ephraim-lessing-369,1242,1835
wilhelm-von-humboldt-295,7,12
ludwig-aurbacher-30,45,44
adelbert-von-chamisso-98,3507,5936
ludwig-fulda-1097,2248,3303
johann-philipp-lorenz-withof-647,1051,1368
friedrich-theodor-vischer-609,1725,3203
theodor-storm-576,1137,2031
walter-benjamin-1090,722,1327
hans-sachs-505,2083,3040
franz-josef-zlatnik-662,497,529
emerenz-meier-1432,53,49
hugo-ball-34,279,481
carl-spitteler-561,174,273
william-shakespeare-548,1282,1903
gottfried-keller-312,1683,2826
christian-furchtegott-gellert-191,2209,2986
aloys-blumauer-1488,4213,5863
eugenie-marlitt-399,157,322
max-von-schenkendorf-1722,3090,3608
heinrich-seidel-544,1781,2554
julius-sturm-1697,714,855
max-halbe-815,127,221
johann-gottfried-seume-547,828,856
sebastian-sailer-506,31,24
edgar-allan-poe-465,271,473
julius-langbehn-1074,284,416
hugo-marti-929,121,244
anton-wildgans-643,1379,3419
ernst-von-wildenbruch-641,69,222
theodor-korner-333,4151,5324
heinrich-hoffmann-281,244,343
emil-gott-1364,247,385
eduard-paulus-1102,3167,5058
frida-schanz-962,2821,4176
anastasius-grun-225,8539,13121
percy-bysshe-shelley-1649,2316,4025
paul-boldt-64,104,307
musliheddin-sadi-1106,1237,2530
michael-georg-conrad-109,30,37
casar-flaischlen-1035,693,1179
paul-hansmann-772,3535,3907
gerhard-tersteegen-589,15,9
alfred-lichtenstein-373,451,795
fritz-reuter-486,1002,1015
ludwig-jacobowski-302,16,37
hugo-von-hofmannsthal-283,463,887
george-gordon-noel-byron-90,9579,15577
hartmann-von-aue-297,94,257
guido-zernatto-1537,59,151
joseph-christian-von-zedlitz-659,3148,5514
paula-dehmel-123,2387,3876
friedrich-nicolai-441,2,5
else-lasker-schuler-1258,504,1087
franz-keim-886,1207,1791
jacob-burckhardt-86,44,40
ludwig-rubiner-500,2,18
charles-baudelaire-40,3825,7211
moritz-graf-strachwitz-578,635,1275
friedrich-haug-247,254,346
ludwig-anzengruber-12,580,846
johann-wolfgang-von-goethe-205,13372,18316
bjrnstjerne-bjrnson-57,817,1151
johann-georg-jacobi-1596,870,979
otfried-krzyzanowski-344,134,241
august-von-platen-461,952,1557
johann-wilhelm-ludwig-gleim-203,3602,4061
hermann-conradi-108,739,1403
ferdinand-von-saar-503,365,613
paul-haller-1601,157,118
pedro-calderon-de-la-barca-800,404,630
ovid-451,6737,14483
karl-simrock-552,10147,14351
bruno-ertler-150,231,378
friedrich-schlegel-520,47,78
alfred-mombert-1413,511,848
joseph-freiherr-von-eichendorff-142,1385,2188
ludwig-eichrodt-1298,690,1021
johann-heinrich-voss-613,2344,3562
carl-arnold-kortum-339,2733,3212
willibald-alexis-6,22,8
julius-wolff-652,7282,10897
barthold-heinrich-brockes-79,36,45
peter-hille-276,216,282
joachim-ringelnatz-496,2034,2922
henry-wadsworth-longfellow-1089,833,2015
karl-may-403,1140,1500
karl-broger-1670,429,719
richard-zoozmann-665,9617,12252
friedrich-holderlin-279,4455,6110
ludwig-uhland-601,1978,2954
christian-schubart-535,521,769
friedrich-wilhelm-nietzsche-443,395,468
achim-von-arnim-20,8266,11242
kurt-tucholsky-598,57,123
johann-peter-eckerman-139,165,203
hoffmann-von-fallersleben-160,230,166
arthur-fitger-167,24,24
gerrit-engelke-146,554,1069
ferdinand-sauter-509,404,621
johann-peter-hebel-251,85,76
