author	black	white	grey	red	green	blue	yellow	orange	violet	brown	silver	gold
hans-schiebelhuth-1623	12	44	9	21	11	15	7	0	0	5	6	2
franz-dingelstedt-127	8	10	7	0	9	6	0	0	0	2	0	7
sidonia-hedwig-zaunemann-657	4	4	2	0	4	1	1	0	0	2	0	0
karl-friedrich-gottlob-wetzel-636	0	0	1	1	0	0	0	0	0	0	0	0
alberta-von-puttkamer-473	0	2	0	0	0	0	0	0	0	0	1	0
giosue-carducci-1019	28	41	7	14	24	15	3	0	0	9	3	10
paul-klee-324	0	2	0	0	3	1	1	0	0	0	1	0
heinrich-heine-257	89	127	29	68	41	33	17	0	1	9	6	18
frank-wedekind-626	1	0	0	4	14	0	0	0	0	0	0	9
johann-gabriel-seidl-546	28	28	18	31	20	22	2	0	0	4	7	5
hans-christian-andersen-9	0	0	0	1	0	2	0	0	0	0	0	0
friedrich-wilhelm-weber-625	0	0	1	0	2	0	0	0	0	1	1	0
georg-heym-273	61	55	16	44	25	21	19	0	0	8	0	6
theodor-fontane-173	6	4	1	3	1	2	2	0	0	0	0	6
justinus-kerner-315	8	1	0	0	4	5	0	0	0	0	0	0
hermann-lons-381	6	33	2	83	92	20	2	0	0	6	0	5
adolf-glassbrenner-200	26	24	2	1	33	15	3	0	0	1	5	7
ludwig-tieck-593	0	0	0	1	1	2	0	0	0	0	0	3
max-hofmann-282	2	0	0	0	0	1	0	0	0	1	0	0
victor-hugo-293	117	48	21	0	48	34	7	0	0	7	1	5
hermann-von-lingg-378	2	0	0	3	0	0	1	0	0	0	0	0
gottfried-august-burger-84	6	14	7	7	12	22	1	0	0	2	4	10
christian-friedrich-scherenberg-515	27	14	23	25	11	13	0	0	0	1	2	4
franz-grillparzer-219	1	0	0	0	1	0	0	0	0	1	0	1
friedrich-ruckert-501	7	14	6	6	46	13	1	0	0	2	1	14
gotthold-ephraim-lessing-369	7	4	1	7	1	3	0	0	0	4	0	1
ludwig-aurbacher-30	1	0	0	0	0	0	0	0	0	0	0	0
adelbert-von-chamisso-98	16	18	13	58	16	14	2	0	0	0	2	22
ludwig-fulda-1097	17	15	4	6	3	8	6	0	1	4	2	6
johann-philipp-lorenz-withof-647	3	1	1	0	3	1	0	0	0	0	0	0
friedrich-theodor-vischer-609	19	30	22	0	12	16	1	0	0	5	8	6
theodor-storm-576	10	18	15	16	12	25	1	0	0	4	4	9
walter-benjamin-1090	20	7	1	6	6	3	5	0	0	3	2	1
hans-sachs-505	17	10	6	0	14	14	4	0	0	4	1	6
franz-josef-zlatnik-662	9	4	7	1	6	2	0	0	0	0	0	4
emerenz-meier-1432	1	0	0	1	0	0	0	0	0	0	0	0
hugo-ball-34	3	8	0	12	10	7	5	1	3	0	0	3
carl-spitteler-561	0	3	1	4	2	2	0	0	0	0	0	0
william-shakespeare-548	15	8	1	10	4	3	2	0	0	1	0	1
gottfried-keller-312	25	7	23	43	54	33	1	0	0	12	5	8
georg-trakl-595	54	30	17	25	15	40	13	0	0	27	17	16
aloys-blumauer-1488	39	25	13	0	7	8	2	0	0	2	0	19
eugenie-marlitt-399	2	2	4	1	7	0	0	0	0	0	2	6
